,,,,,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,CAD,External Brokerage,"1,253",699,597,"2,043","2,547",981,"3,299",199,"4,365","1,518","2,129","1,970"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,CAD,Gross Gross Premium,"-12,576","-7,013","-5,987","-20,499","-25,558","-9,845","-33,107","-1,999","-43,811","-15,236","-21,370","-19,775"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,USD,Gross Net Premium,"-84,870","-5,610","-46,126","-48,892","-44,814","-29,981","-61,807","-51,847","-24,956","-52,820","-46,366","-24,176"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,USD,External Brokerage,"9,393",621,"5,105","5,411","4,960","3,318","6,840","5,738","2,762","5,846","5,131","2,676"
YOA_2022,623,6107,744,TMB LargeRisk Int InfoSec,Open Market,USD,Gross Gross Premium,"-94,263","-6,231","-51,230","-54,303","-49,774","-33,299","-68,647","-57,585","-27,718","-58,665","-51,497","-26,851"
YOA_2022,623,6107,763,BUSA US InfoSec MM BBR,Open Market,USD,Gross Net Premium,"-114,582","-57,060","-100,933","-151,618","-104,293","-119,716","-213,274","-117,011","-127,292","-188,769","-99,471","-128,243"
YOA_2022,623,6107,763,BUSA US InfoSec MM BBR,Open Market,USD,External Brokerage,"20,508","10,213","18,065","27,137","18,666","21,427","38,172","20,943","22,783","33,786","17,803","22,953"
YOA_2022,623,6107,763,BUSA US InfoSec MM BBR,Open Market,USD,Gross Gross Premium,"-135,090","-67,273","-118,998","-178,755","-122,960","-141,143","-251,446","-137,954","-150,075","-222,555","-117,274","-151,196"
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Delegated,USD,Gross Net Premium,0,0,0,0,0,0,0,0,0,0,0,"-241,156"
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Delegated,USD,Gross Gross Premium,0,0,0,0,0,0,0,0,0,0,0,"-241,156"
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,GBP,Gross Net Premium,0,0,0,0,0,-413,0,0,0,0,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,GBP,External Brokerage,0,0,0,0,0,93,0,0,0,0,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,GBP,Gross Gross Premium,0,0,0,0,0,-507,0,0,0,0,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,EUR,Gross Net Premium,0,0,0,0,0,0,0,0,0,-264,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,EUR,External Brokerage,0,0,0,0,0,0,0,0,0,59,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,EUR,Gross Gross Premium,0,0,0,0,0,0,0,0,0,-324,0,0
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,USD,Gross Net Premium,"-45,007","-16,292","-17,148","-11,105","-20,667","-12,842","-127,546","-22,330","-29,910","-41,115","-20,115","233,314"
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,USD,External Brokerage,"10,133","3,668","3,861","2,500","4,653","2,891","28,715","5,027","6,734","9,257","4,529","-52,527"
YOA_2022,623,6107,765,TMB UK InfoSec MM BBR,Open Market,USD,Gross Gross Premium,"-55,140","-19,960","-21,009","-13,605","-25,320","-15,734","-156,262","-27,358","-36,644","-50,372","-24,644","285,842"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,GBP,Gross Net Premium,0,0,0,0,0,-372,0,0,0,0,0,983
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,GBP,External Brokerage,0,0,0,0,0,172,0,0,0,0,0,-455
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,GBP,Gross Gross Premium,0,0,0,0,0,-544,0,0,0,0,0,"1,438"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,EUR,Gross Net Premium,"-1,183",0,0,0,-969,-936,0,0,0,0,0,0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,EUR,External Brokerage,548,0,0,0,449,434,0,0,0,0,0,0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,EUR,Gross Gross Premium,"-1,730",0,0,0,"-1,418","-1,370",0,0,0,0,0,0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,USD,Gross Net Premium,"-53,211",0,0,"-4,241",0,0,-139,0,0,0,"-1,631",0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,USD,External Brokerage,"24,637",0,0,"1,964",0,0,64,0,0,0,755,0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Delegated,USD,Gross Gross Premium,"-77,849",0,0,"-6,205",0,0,-203,0,0,0,"-2,387",0
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,GBP,Gross Net Premium,-705,-546,"-2,666","-3,167","-4,427","-2,801","-4,344","-1,988",-568,"-5,961","-1,710","7,087"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,GBP,External Brokerage,62,48,236,280,391,248,384,176,50,527,151,-626
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,GBP,Gross Gross Premium,-767,-594,"-2,901","-3,447","-4,818","-3,049","-4,728","-2,164",-619,"-6,488","-1,861","7,713"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,EUR,Gross Net Premium,-312,0,0,"-1,283","-1,745",0,"-2,060",0,"-1,208","-1,069",-563,"-2,811"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,EUR,External Brokerage,28,0,0,113,154,0,182,0,107,94,50,248
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,EUR,Gross Gross Premium,-340,0,0,"-1,397","-1,900",0,"-2,242",0,"-1,315","-1,163",-612,"-3,060"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,CAD,Gross Net Premium,"-3,306","-4,883","-1,108","-6,471","-27,895","-7,996","-14,325","-6,260","-8,342","-7,239","-4,330","-7,092"
YOA_2022,623,6107,769,TMB INT InfoSec MM BBR,Open Market,CAD,External Brokerage,292,431,98,572,"2,465",707,"1,266",553,737,640,383,627
